wid,txtid,inv_nr,cth_number,lnr,trans,text,text_tags,text_clean,subscr,matlect,num,sign,corr,deleted,added,ras,rasx,gap,note,link,mrp0sel,combined,,,,,,,,,
8,KBo 68.313,,832,2′,,x,x,x,,,,,,,,,,,,,DEL,{},,,,,,,,,
9,KBo 68.313,,832,3′,~zi,-z,-z<del_fin/>i,-z]i,,,,,,,,,,,,,DEL,{},,,,,,,,,
10,KBo 68.313,,832,4′,~zi,-z,-z<del_fin/>i,-z]i,,,,,,,,,,,,,DEL,{},,,,,,,,,
11,KBo 68.313,,832,5′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
12,KBo 68.313,,832,5′,,x,x<d>ḪI.A</d>,x~ḪI.A~,,,,,,,,,,,,,DEL,{},,,,,,,,,
13,KBo 68.313,,832,6′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
14,KBo 68.313,,832,6′,,x-wa-x,x-wa-x,x-wa-x,,,,,,,,,,,,,DEL,{},,,,,,,,,
15,KBo 68.313,,832,6′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
16,KBo 68.313,,832,7′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
17,KBo 68.313,,832,7′,,x,x,x,,,,,,,,,,,,,DEL,{},,,,,,,,,
18,KBo 68.313,,832,7′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
19,KBo 68.313,,832,7′,,AO:Textline-Hurr,AO:Textline-Hurr,AO:Textline-Hurr,,,,,,,,,,,,,DEL,{},,,,,,,,,
20,KBo 68.313,,832,7′,,AO:Textline-Hat,AO:Textline-Hat,AO:Textline-Hat,,,,,,,,,,,,,DEL,{},,,,,,,,,
21,KBo 68.313,,832,7′,AO:,AO:,AO:,AO:,,,,,,,,,,,,,???,{},,,,,,,,,
22,KBo 68.313,,832,7′,,Textline-Hit,Textline-Hit,Textline-Hit,,,,,,,,,,,,,DEL,{},,,,,,,,,
23,KBo 68.313,,832,7′,,AO:Textline-Luw,AO:Textline-Luw,AO:Textline-Luw,,,,,,,,,,,,,DEL,{},,,,,,,,,
24,KBo 68.313,,832,7′,,AO:Textline-Pal,AO:Textline-Pal,AO:Textline-Pal,,,,,,,,,,,,,DEL,{},,,,,,,,,
25,KBo 68.313,,832,7′,,,"<subscr c=""AO:--indexa""/>",,,,,,,,,,,,,,,{},,,,,,,,,
26,KBo 68.313,,832,7′,AO:Ḫurriana,AO:Hurriana,AO:Hurriana,AO:Hurriana,,,,,,,,,,,,,???,{'lg': 'Hur'},,,,,,,,,
27,KBo 68.313,,832,7′,AO:Ḫittite,AO:Hittite,AO:Hittite,AO:Hittite,,,,,,,,,,,,,???,{},,,,,,,,,
0,KBo 66.198,,832,1′,,,"<space c=""35""/>",***********************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
1,KBo 66.198,,832,1′,,,<del_fin/>x-pí-ia-ma,]x-pí-ia-ma,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
2,KBo 66.198,,832,2′,,,"<space c=""41""/>",*****************************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
3,KBo 66.198,,832,2′,,,<del_fin/>x,]x,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
4,KBo 66.198,,832,2′,BALi,,"<sGr>BAL</sGr>-i<corr c=""?""/>",BAL-i,,,,,"i<corr c=""?""/>",,,,,,,,  ,"{'lg': 'Hit', 'mrp1': 'BAL=@ Spindel @ D/L.SG @ 29.1.1 @ GIŠ', 'mrp2': 'BAL=@ Dolmetscher(?) @ D/L.SG @ 29.1.2 @ ', 'mrp3': 'BAL=@ Aufruhr @ D/L.SG @ 29.1.2 @ '}",,,,,,,,,
5,KBo 66.198,,832,2′,,,<del_in/>,[,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
6,KBo 66.198,,832,3′,,,"<space c=""41""/>",*****************************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
7,KBo 66.198,,832,3′,kuitman,,<del_fin/>ku-it-ma-<del_in/>an,]ku-it-ma-[an,,,,,,,,,,,,,  ,"{'lg': 'Hit', 'mrp1': ' kuitman @ während @  @ CNJ @ ', 'mrp2': ' kuitman @ eine Zeitlang @  @ INDadv @ '}",,,,,,,,,
8,KBo 66.198,,832,4′,,,"<space c=""41""/>",*****************************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
9,KBo 66.198,,832,4′,,,<del_fin/>x,]x,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
10,KBo 66.198,,832,4′,,x,x,x,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
11,KBo 66.198,,832,4′,,x,x<del_in/>,x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
12,KBo 66.198,,832,4′,,AO:Textline-Hurr,AO:Textline-Hurr,AO:Textline-Hurr,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
13,KBo 66.198,,832,4′,,AO:Textline-Hat,AO:Textline-Hat,AO:Textline-Hat,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
14,KBo 66.198,,832,4′,AO:,AO:,AO:,AO:,,,,,,,,,,,,,???,{'lg': 'Hit'},,,,,,,,,
15,KBo 66.198,,832,4′,,Textline-Hit,Textline-Hit,Textline-Hit,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
16,KBo 66.198,,832,4′,,,"<subscr c=""AO:--index""/>",,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
17,KBo 66.198,,832,4′,AO:Ḫittite,AO:Hittite,AO:Hittite,AO:Hittite,,,,,,,,,,,,,???,{'lg': 'Hit'},,,,,,,,,
0,KBo 66.186,,832,Vs.? 1′,,,"<space c=""31""/>",*******************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
1,KBo 66.186,,832,Vs.? 1′,,,<del_fin/>x-kán,]x-kán,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
2,KBo 66.186,,832,Vs.? 1′,,x,x<del_in/>,x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
3,KBo 66.186,,832,Vs.? 2′,,,"<space c=""27""/>",***************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
4,KBo 66.186,,832,Vs.? 2′,,,<del_fin/>x,]x,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
5,KBo 66.186,,832,Vs.? 2′,,x x,x x,x x,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
6,KBo 66.186,,832,Vs.? 2′,LUGAL,,<sGr>LUGAL</sGr>,LUGAL,,,,,,,,,,,,,  ,"{'lg': 'Hit', 'mrp1': 'LUGAL=u-@ Šarrumma @    { a → DN.NOM.SG(UNM)}   { b → DN.HURR.ABS}   { c → DN.ACC.SG(UNM)}   { d → DN.NOM.PL(UNM)}   { e → DN.ACC.PL(UNM)}   { f → DN.GEN.SG(UNM)}   { g → DN.GEN.PL(UNM)}   { h → DN.D/L.SG(UNM)}   { i → DN.D/L.PL(UNM)}   { j → DN.ABL(UNM)}   { k → DN.INS(UNM)}   { l → DN.VOC.SG(UNM)}   { m → DN.VOC.PL(UNM)} @ 36.1.1 @ D', 'mrp2': 'LUGAL=u-@ Königtum @    { a → NOM.SG(UNM)}   { b → ACC.SG(UNM)}   { c → NOM.PL(UNM)}   { d → ACC.PL(UNM)}   { e → GEN.SG(UNM)}   { f → GEN.PL(UNM)}   { g → D/L.SG(UNM)}   { h → D/L.PL(UNM)}   { i → ALL(UNM)}   { j → ABL(UNM)}   { k → INS(UNM)}   { l → VOC.SG(UNM)}   { m → VOC.PL(UNM)} @ 28.1.1.1 @ ', 'mrp3': 'LUGAL=u-@ König @    { a → NOM.SG(UNM)}   { b → ACC.SG(UNM)}   { c → NOM.PL(UNM)}   { d → ACC.PL(UNM)}   { e → GEN.SG(UNM)}   { f → GEN.PL(UNM)}   { g → D/L.SG(UNM)}   { h → D/L.PL(UNM)}   { i → ALL(UNM)}   { j → ABL(UNM)}   { k → INS(UNM)}   { l → VOC.SG(UNM)}   { m → VOC.PL(UNM)} @ 28.3.1.1 @ '}",,,,,,,,,
7,KBo 66.186,,832,Vs.? 2′,GAL,,"<sGr>GA<del_in/>L</sGr><corr c=""?""/>",GA[L,,,,,"GA[L<corr c=""?""/>",,,,,,,,  ,"{'lg': 'Hit', 'mrp1': 'GAL=@ Großer @    { a → NOM.SG(UNM)}   { b → ACC.SG(UNM)}   { c → NOM.PL(UNM)}   { d → ACC.PL(UNM)}   { e → GEN.SG(UNM)}   { f → GEN.PL(UNM)}   { g → D/L.SG(UNM)}   { h → D/L.PL(UNM)}   { i → ALL(UNM)}   { j → ABL(UNM)}   { k → INS(UNM)}   { l → VOC.SG(UNM)}   { m → VOC.PL(UNM)} @ 29.1.1 @ (LÚ)', 'mrp2': 'GAL=@ Becher @    { a → NOM.SG(UNM)}   { b → ACC.SG(UNM)}   { c → NOM.PL(UNM)}   { d → ACC.PL(UNM)}   { e → GEN.SG(UNM)}   { f → GEN.PL(UNM)}   { g → D/L.SG(UNM)}   { h → D/L.PL(UNM)}   { i → ALL(UNM)}   { j → ABL(UNM)}   { k → INS(UNM)}   { l → VOC.SG(UNM)}   { m → VOC.PL(UNM)} @ 28.2.1.2 @ (DUG/GIŠ/URUDU)', 'mrp3': 'GAL=@ Becher @    { a → NOM.SG(UNM)}   { b → ACC.SG(UNM)}   { c → NOM.PL(UNM)}   { d → ACC.PL(UNM)}   { e → GEN.SG(UNM)}   { f → GEN.PL(UNM)}   { g → D/L.SG(UNM)}   { h → D/L.PL(UNM)}   { i → ALL(UNM)}   { j → ABL(UNM)}   { k → INS(UNM)}   { l → VOC.SG(UNM)}   { m → VOC.PL(UNM)} @ 28.2.1.2.1 @ (DUG/GIŠ/URUDU)', 'mrp4': 'GAL=@ groß @    { a → NOM.SG(UNM)}   { b → ACC.SG(UNM)}   { c → NOM.PL(UNM)}   { d → ACC.PL(UNM)}   { e → GEN.SG(UNM)}   { f → GEN.PL(UNM)}   { g → D/L.SG(UNM)}   { h → D/L.PL(UNM)}   { i → ALL(UNM)}   { j → ABL(UNM)}   { k → INS(UNM)}   { l → VOC.SG(UNM)}   { m → VOC.PL(UNM)}   { n → ADV(UNM)} @ 28.2.3 @ '}",,,,,,,,,
8,KBo 66.186,,832,Vs.? 3′,,,"<space c=""31""/>",*******************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
9,KBo 66.186,,832,Vs.? 3′,,,<del_fin/>x,]x,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
10,KBo 66.186,,832,Vs.? 3′,,x,x<del_in/>,x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
11,KBo 66.186,,832,Vs.? 3′,,,"<space c=""3""/>",***,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
12,KBo 66.186,,832,Vs.? 3′,,,<del_fin/>x,]x,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
13,KBo 66.186,,832,Vs.? 3′,,x-z,"x-z<del_in/>i<corr c=""?""/>",x-z[i,,,,,"z[i<corr c=""?""/>",,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
14,KBo 66.186,,832,Vs.? 4′,,,"<space c=""25""/>",*************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
15,KBo 66.186,,832,Vs.? 4′,,,<del_fin/>x-x-an-zi<del_in/>,]x-x-an-zi[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
16,KBo 66.186,,832,Vs.? 5′,,,"<space c=""29""/>",*****************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
17,KBo 66.186,,832,Vs.? 5′,,,<del_fin/>x<del_in/>,]x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
18,KBo 66.186,,832,Vs.? 6′,,,"<space c=""26""/>",**************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
19,KBo 66.186,,832,Vs.? 6′,,,<del_fin/>x,]x,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
20,KBo 66.186,,832,Vs.? 6′,,x,x<del_in/>,x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
21,KBo 66.186,,832,Vs.? 7′,,,"<space c=""36""/>",************************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
22,KBo 66.186,,832,Vs.? 7′,,,<del_fin/>,],,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
23,KBo 66.186,,832,Vs.? 8″,,,"<space c=""31""/>",*******************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
24,KBo 66.186,,832,Vs.? 8″,,,<del_fin/>x<del_in/>,]x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
25,KBo 66.186,,832,Rs.? 1′,,,"<space c=""33""/>",*********************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
26,KBo 66.186,,832,Rs.? 1′,,,<del_fin/>x,]x,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
27,KBo 66.186,,832,Rs.? 1′,,x,x<del_in/>,x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
28,KBo 66.186,,832,Rs.? 2′,,,"<space c=""26""/>",**************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
29,KBo 66.186,,832,Rs.? 2′,,,<del_fin/>x,]x,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
30,KBo 66.186,,832,Rs.? 2′,,x x,x x,x x,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
31,KBo 66.186,,832,Rs.? 2′,,x x,x x,x x,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
32,KBo 66.186,,832,Rs.? 2′,,x,x,x,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
33,KBo 66.186,,832,Rs.? 2′,,x,x<del_in/>,x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
34,KBo 66.186,,832,Rs.? 3′,,,"<space c=""32""/>",********************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
35,KBo 66.186,,832,Rs.? 3′,,,<del_fin/>x,]x,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
36,KBo 66.186,,832,Rs.? 3′,,x x,x x,x x,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
37,KBo 66.186,,832,Rs.? 3′,,x-it,x-it,x-it,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
38,KBo 66.186,,832,Rs.? 3′,,x,x<del_in/>,x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
39,KBo 66.186,,832,Rs.? 4′,,,"<space c=""32""/>",********************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
40,KBo 66.186,,832,Rs.? 4′,,,<del_fin/>x<del_in/>,]x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
41,KBo 66.186,,832,Rs.? 4′,,,"<space c=""5""/>",*****,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
42,KBo 66.186,,832,Rs.? 4′,,,<del_fin/>x<del_in/>,]x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
43,KBo 66.186,,832,Rs.? 5′,,,"<space c=""34""/>",**********************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
44,KBo 66.186,,832,Rs.? 5′,,,<del_fin/>x<del_in/>,]x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
45,KBo 66.186,,832,Rs.? 6″,,,"<space c=""32""/>",********************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
46,KBo 66.186,,832,Rs.? 6″,,,<del_fin/>x<del_in/>,]x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
47,KBo 66.186,,832,Rs.? 7″,,,"<space c=""51""/>",***************************************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
48,KBo 66.186,,832,Rs.? 7″,,,<del_fin/>,],,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
49,KBo 66.186,,832,Rs.? 8″,,,"<space c=""39""/>",***************************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
50,KBo 66.186,,832,Rs.? 8″,,,<del_fin/>x<del_in/>,]x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
51,KBo 66.186,,832,Rs.? 8″,,AO:Textline-Hurr,AO:Textline-Hurr,AO:Textline-Hurr,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
52,KBo 66.186,,832,Rs.? 8″,,AO:Textline-Hat,AO:Textline-Hat,AO:Textline-Hat,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
53,KBo 66.186,,832,Rs.? 8″,AO:,AO:,AO:,AO:,,,,,,,,,,,,,???,{'lg': 'Hit'},,,,,,,,,
54,KBo 66.186,,832,Rs.? 8″,,Textline-Hit,Textline-Hit,Textline-Hit,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
55,KBo 66.186,,832,Rs.? 8″,,,"<subscr c=""AO:--index""/>",,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
56,KBo 66.186,,832,Rs.? 8″,AO:Ḫittite,AO:Hittite,AO:Hittite,AO:Hittite,,,,,,,,,,,,,???,{'lg': 'Hit'},,,,,,,,,
0,KBo 63.313,,832,1′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
1,KBo 63.313,,832,1′,,x-an,x-an,x-an,,,,,,,,,,,,,DEL,{},,,,,,,,,
2,KBo 63.313,,832,1′,,x,x,x,,,,,,,,,,,,,DEL,{},,,,,,,,,
3,KBo 63.313,,832,1′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
4,KBo 63.313,,832,2′,~napašua,-n,"-n<del_fin/>a<corr c=""?""/>-pa-aš-wa<corr c=""?""/>",-n]a-pa-aš-wa,,,,,"n]a<corr c=""?""/>, wa<corr c=""?""/>",,,,,,,,DEL,{},,,,,,,,,
5,KBo 63.313,,832,2′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
6,KBo 63.313,,832,3′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
7,KBo 63.313,,832,3′,,x,x,x,,,,,,,,,,,,,DEL,{},,,,,,,,,
8,KBo 63.313,,832,3′,kattan,kat-ta-an,kat-ta-an,kat-ta-an,,,,,,,,,,,,,  ,"{'mrp1': ' kattan @ unten @  @ ADV @ ', 'mrp2': ' kattan @ unter @  @ POSP @ ', 'mrp3': ' kattan @ unter- @  @ PREV @ '}",,,,,,,,,
9,KBo 63.313,,832,3′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
10,KBo 63.313,,832,4′,~it,-i,-i<del_fin/>t,-i]t,,,,,,,,,,,,,DEL,{},,,,,,,,,
11,KBo 63.313,,832,4′,šua~,šu-ú-wa-,šu-ú-wa-<del_in/>,šu-ú-wa-[,,,,,,,,,,,,,DEL,{},,,,,,,,,
12,KBo 63.313,,832,5′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
13,KBo 63.313,,832,5′,,x,x,x,,,,,,,,,,,,,DEL,{},,,,,,,,,
14,KBo 63.313,,832,5′,nu,nu,nu,nu,,,,,,,,,,,,,1,{'mrp1': ' nu @  @ CONNn @  @ '},,,,,,,,,
15,KBo 63.313,,832,5′,LUGAL,,<sGr>LUGAL</sGr>,LUGAL,,,,,,,,,,,,,  ,"{'mrp1': 'LUGAL=u-@ Šarrumma @    { a → DN.NOM.SG(UNM)}   { b → DN.HURR.ABS}   { c → DN.ACC.SG(UNM)}   { d → DN.NOM.PL(UNM)}   { e → DN.ACC.PL(UNM)}   { f → DN.GEN.SG(UNM)}   { g → DN.GEN.PL(UNM)}   { h → DN.D/L.SG(UNM)}   { i → DN.D/L.PL(UNM)}   { j → DN.ABL(UNM)}   { k → DN.INS(UNM)}   { l → DN.VOC.SG(UNM)}   { m → DN.VOC.PL(UNM)} @ 36.1.1 @ D', 'mrp2': 'LUGAL=u-@ Königtum @    { a → NOM.SG(UNM)}   { b → ACC.SG(UNM)}   { c → NOM.PL(UNM)}   { d → ACC.PL(UNM)}   { e → GEN.SG(UNM)}   { f → GEN.PL(UNM)}   { g → D/L.SG(UNM)}   { h → D/L.PL(UNM)}   { i → ALL(UNM)}   { j → ABL(UNM)}   { k → INS(UNM)}   { l → VOC.SG(UNM)}   { m → VOC.PL(UNM)} @ 28.1.1.1 @ ', 'mrp3': 'LUGAL=u-@ König @    { a → NOM.SG(UNM)}   { b → ACC.SG(UNM)}   { c → NOM.PL(UNM)}   { d → ACC.PL(UNM)}   { e → GEN.SG(UNM)}   { f → GEN.PL(UNM)}   { g → D/L.SG(UNM)}   { h → D/L.PL(UNM)}   { i → ALL(UNM)}   { j → ABL(UNM)}   { k → INS(UNM)}   { l → VOC.SG(UNM)}   { m → VOC.PL(UNM)} @ 28.3.1.1 @ '}",,,,,,,,,
16,KBo 63.313,,832,5′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
17,KBo 63.313,,832,6′,,,<del_fin/>,],,,,,,,,,,,,,,{},,,,,,,,,
18,KBo 63.313,,832,6′,,x-,x-<laes_in/>ia,x-⸢ia,,,,,,,,,,,,,DEL,{},,,,,,,,,
19,KBo 63.313,,832,6′,šup~,šu,šu<laes_fin/>-up-<del_in/>,šu⸣-up-[,,,,,,,,,,,,,DEL,{},,,,,,,,,
20,KBo 63.313,,832,6′,,AO:Textline-Hurr,AO:Textline-Hurr,AO:Textline-Hurr,,,,,,,,,,,,,DEL,{},,,,,,,,,
21,KBo 63.313,,832,6′,,AO:Textline-Hat,AO:Textline-Hat,AO:Textline-Hat,,,,,,,,,,,,,DEL,{},,,,,,,,,
22,KBo 63.313,,832,6′,AO:,AO:,AO:,AO:,,,,,,,,,,,,,???,{},,,,,,,,,
23,KBo 63.313,,832,6′,,Textline-Hit,Textline-Hit,Textline-Hit,,,,,,,,,,,,,DEL,{},,,,,,,,,
24,KBo 63.313,,832,6′,,AO:Textline-Luw,AO:Textline-Luw,AO:Textline-Luw,,,,,,,,,,,,,DEL,{},,,,,,,,,
25,KBo 63.313,,832,6′,,AO:Textline-Pal,AO:Textline-Pal,AO:Textline-Pal,,,,,,,,,,,,,DEL,{},,,,,,,,,
26,KBo 63.313,,832,6′,,,"<subscr c=""AO:--indexa""/>",,,,,,,,,,,,,,,{},,,,,,,,,
27,KBo 63.313,,832,6′,AO:Ḫurriana,AO:Hurriana,AO:Hurriana,AO:Hurriana,,,,,,,,,,,,,???,{'lg': 'Hur'},,,,,,,,,
28,KBo 63.313,,832,6′,AO:Ḫittite,AO:Hittite,AO:Hittite,AO:Hittite,,,,,,,,,,,,,???,{},,,,,,,,,
0,KBo 66.327,,832,r. Kol. 1′,,,"<space c=""33""/>",*********************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
1,KBo 66.327,,832,r. Kol. 1′,,,<del_fin/>x,]x,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
2,KBo 66.327,,832,r. Kol. 2′,,,"<space c=""33""/>",*********************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
3,KBo 66.327,,832,r. Kol. 2′,GEŠTIN/wi,,"<del_fin/><sGr>GEŠTIN</sGr>/wi₅<corr c=""?""/>",]GEŠTIN/wi₅,,,,,"wi₅<corr c=""?""/>",,,,,,,,???,{'lg': 'Hit'},,,,,,,,,
4,KBo 66.327,,832,r. Kol. 3′,,,"<space c=""25""/>",*************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
5,KBo 66.327,,832,r. Kol. 3′,zeari~,z,"z<del_fin/>e<corr c=""?""/>-ia<corr c=""?""/>-ri(-)",z]e-ia-ri(-),,,,,"z]e<corr c=""?""/>, ia<corr c=""?""/>",,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
6,KBo 66.327,,832,r. Kol. 3′,,x x,x x,x x,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
7,KBo 66.327,,832,r. Kol. 4′,,,"<space c=""26""/>",**************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
8,KBo 66.327,,832,r. Kol. 4′,,,<del_fin/>x-x(-)x-kán-z<del_in/>i<del_fin/>,]x-x(-)x-kán-z[i],,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
9,KBo 66.327,,832,r. Kol. 5′,,,"<space c=""26""/>",**************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
10,KBo 66.327,,832,r. Kol. 5′,IMIN.IMIN.BI,,<del_fin/><sGr>IMIN.IMIN.BI</sGr>,]IMIN.IMIN.BI,,,,,,,,,,,,,  ,"{'lg': 'Hit', 'mrp1': 'IMIN.IMIN.BI=@ Sebettu @    { a → DN.NOM.SG(UNM)}   { b → DN.HURR.ABS}   { c → DN.ACC.SG(UNM)}   { d → DN.NOM.PL(UNM)}   { e → DN.ACC.PL(UNM)}   { f → DN.GEN.SG(UNM)}   { g → DN.GEN.PL(UNM)}   { h → DN.D/L.SG(UNM)}   { i → DN.D/L.PL(UNM)}   { j → DN.ABL(UNM)}   { k → DN.INS(UNM)}   { l → DN.VOC.SG(UNM)}   { m → DN.VOC.PL(UNM)} @ 36.6 @ D'}",,,,,,,,,
11,KBo 66.327,,832,r. Kol. 5′,,x,x<del_in/>,x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
12,KBo 66.327,,832,r. Kol. 6′,,,"<space c=""35""/>",***********************************,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
13,KBo 66.327,,832,r. Kol. 6′,,,<del_fin/>x<del_in/>,]x[,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
14,KBo 66.327,,832,r. Kol. 6′,,AO:Textline-Hurr,AO:Textline-Hurr,AO:Textline-Hurr,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
15,KBo 66.327,,832,r. Kol. 6′,,AO:Textline-Hat,AO:Textline-Hat,AO:Textline-Hat,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
16,KBo 66.327,,832,r. Kol. 6′,AO:,AO:,AO:,AO:,,,,,,,,,,,,,???,{'lg': 'Hit'},,,,,,,,,
17,KBo 66.327,,832,r. Kol. 6′,,Textline-Hit,Textline-Hit,Textline-Hit,,,,,,,,,,,,,DEL,{'lg': 'Hit'},,,,,,,,,
18,KBo 66.327,,832,r. Kol. 6′,,,"<subscr c=""AO:--index""/>",,,,,,,,,,,,,,,{'lg': 'Hit'},,,,,,,,,
19,KBo 66.327,,832,r. Kol. 6′,AO:Ḫittite,AO:Hittite,AO:Hittite,AO:Hittite,,,,,,,,,,,,,???,{'lg': 'Hit'},,,,,,,,,
0,KBo 63.235,,832,Vs. 1′,,x,x,x,,,,,,,,,,,,,DEL,{},,,,,,,,,
1,KBo 63.235,,832,Vs. 1′,,,<del_in/>,[,,,,,,,,,,,,,,{},,,,,,,,,
2,KBo 63.235,,832,Vs. 2′!,,x,x,x,,,,,,,,,,,,,DEL,{},,,,,,,,,
